unique_carrier,origin,destination,departure_time,month,day_of_month,day_of_week,distance,is_delayed
XJ,YTL,OJO,734,12,21,3,469,0
XJ,CVG,JNS,955,2,8,3,266,0
AG,INT,HSR,1549,3,16,4,157,0
OZ,PAS,RIN,1543,9,30,5,1337,0
XJ,OEJ,MQJ,1550,1,9,1,328,0
AG,ULX,QFC,725,9,10,7,355,0
OZ,HSR,CNY,647,12,6,2,622,0
XJ,MQV,JNS,1410,5,2,2,529,1
WT,PQM,RJB,1318,7,10,1,391,0
WT,HSR,YTR,810,11,6,7,589,0
JG,MGF,PLG,1827,8,25,5,686,0
TT,HSR,PIH,2055,7,18,1,1846,0
TP,URX,PDM,953,3,17,5,569,0
BN,RVN,JNS,1036,12,15,5,487,0
NB,OPA,LHW,920,1,10,2,303,1
AG,HSR,TCJ,855,7,16,7,654,0
IQ,TVQ,JNS,1653,7,4,1,745,0
WT,PIH,ULX,1917,12,1,4,651,0
WT,QFT,HSR,1403,10,9,1,733,0
C6,UCY,DIE,1704,2,11,5,1028,1
RQ,TVQ,ULQ,1152,2,11,6,665,0
NB,LHW,RTQ,1203,12,13,3,239,0
NB,ULX,QTX,1945,11,5,6,370,0
MH,YTL,DIE,1620,10,14,6,1417,0
HH,IMT,PQM,1233,8,2,2,532,0
WT,HSR,MQV,1550,12,3,6,599,0
HL,MGF,RIN,1435,6,18,7,812,0
HH,MYR,HSR,1609,10,2,1,196,0
HH,PIH,SBH,2228,1,2,7,192,0
BN,RVN,OYT,1634,7,13,3,1145,1
WT,ULQ,HSR,655,12,10,6,678,1
TT,RMT,HSR,1215,10,10,2,612,0
TP,ATE,DBW,1813,12,2,5,199,1
HL,CHP,SRW,1352,8,7,1,612,0
BN,CWI,RVN,641,9,22,5,240,0
WT,URX,QTX,1818,5,4,4,834,0
TT,QTP,RIN,1059,7,1,5,1055,0
WT,HSR,RIN,1651,3,7,1,802,0
LT,LBQ,YVH,1818,10,11,3,216,0
WP,OPU,QTP,909,7,16,7,1300,0
OZ,QTN,RIN,800,9,12,2,140,0
HH,CKB,PQM,1453,10,29,6,347,0
XJ,JNS,MGF,1520,11,17,4,569,0
XJ,MLP,YTL,628,8,2,2,925,0
HH,PQM,RPO,1744,11,2,4,955,1
TT,PDW,JNS,1204,5,28,6,1608,0
WT,RJB,RVN,1025,10,24,1,1123,0
LU,ULX,HTE,1011,7,8,5,646,0
RQ,TVQ,PIH,2138,4,4,2,2139,1
NB,LHW,PVQ,1305,3,7,1,687,0
XJ,YTL,CBT,1923,11,16,3,657,0
WT,RJB,PTV,1953,5,3,3,794,1
OZ,SRW,DIE,908,6,10,6,426,1
WP,RJB,QTP,1248,2,20,1,629,0
TT,RIN,RMT,1122,10,2,1,1192,0
TT,RIN,JQU,2000,12,14,3,551,0
TT,OMH,HSR,1853,5,5,5,1005,0
WT,PJT,YTR,733,10,7,5,2306,0
TT,QFT,OMH,1834,9,16,5,950,0
NB,PVQ,VUT,815,2,28,2,869,0
TT,PIH,DIE,2205,2,15,3,2586,0
MH,ULX,YTL,1130,1,7,5,1009,0
I9,RJB,QTX,2139,10,26,4,862,1
RQ,TVQ,SYM,727,11,22,2,481,0
OZ,PRI,HSR,1122,11,4,6,286,0
WT,YTL,RJB,846,2,22,2,861,1
XJ,MQJ,SHM,1511,8,11,5,245,0
TT,EHT,QTX,2200,5,26,5,2504,0
HL,PRI,MGF,2138,9,3,6,83,1
NB,ORN,QTP,916,6,5,1,1521,0
LU,RMT,QTP,826,11,28,1,2089,0
XJ,MQV,JNS,700,9,19,2,529,1
MH,YTL,TVQ,1417,1,25,2,689,1
NB,OLV,CNY,1830,4,8,6,377,1
TT,IQQ,QTX,1408,11,27,1,2342,0
RQ,CLO,TVQ,1751,12,18,1,134,0
XJ,YTL,UBP,1938,8,18,4,489,0
HH,PQM,RJB,621,2,11,6,391,0
WP,RJB,UYV,726,6,21,2,1290,0
LT,QYL,LBQ,1050,1,15,7,102,0
WT,QTX,HTE,2124,1,4,2,337,0
TT,OMH,OYT,1952,12,27,2,193,0
TT,OMH,PVQ,1912,11,26,7,880,0
NB,PTB,HTE,1135,9,8,4,446,0
LU,SRW,ULX,1640,1,7,5,1891,0
HH,UPU,QTX,1015,7,16,6,110,0
LU,YTL,QTP,714,1,21,5,1222,0
WP,QTP,PJT,2358,6,11,7,866,0
HL,CHP,SRW,718,4,20,3,612,0
HH,URX,SRO,2136,2,8,3,116,0
LU,URX,ULX,1707,5,6,5,1009,0
JG,TVQ,MQJ,807,9,25,1,554,0
WT,PJT,PIH,1706,12,13,3,679,1
WP,ULX,RJB,824,11,11,6,602,0
OZ,ORN,RIN,1217,5,18,4,797,0
XJ,YTL,QML,1729,2,27,1,127,0
AG,MTJ,YTR,1114,6,29,4,401,0
BN,OPU,VUT,1020,7,7,5,1307,0
MH,UCY,MQJ,1256,2,1,3,1020,0
NB,QTX,HTE,1630,1,31,1,337,0
WP,HSR,ULQ,1351,5,9,2,678,0
HL,FPU,OMH,1929,8,19,5,449,0
IQ,OEJ,TVQ,735,8,4,4,669,0
WT,IQQ,HSR,633,3,6,7,1182,0
RQ,TVQ,VUT,1552,4,11,2,406,0
OZ,FSS,HSR,1414,11,1,3,137,0
JG,TVQ,VWU,1749,6,4,6,253,1
WT,YTR,PTB,1550,8,7,7,2253,0
HL,MYR,MGF,528,9,29,4,419,0
TT,HSR,ULQ,2122,3,12,7,678,0
TT,PTV,RIN,726,12,3,6,247,0
BN,RVN,PAS,2216,7,14,4,374,1
AG,PCT,ULX,1830,1,20,5,455,0
HL,QYV,MGF,620,2,15,2,513,0
NB,RTQ,TCZ,1750,1,5,4,580,0
OZ,PRI,OYT,1437,6,30,4,911,0
HH,PTB,QTX,924,9,4,7,109,1
NB,ULQ,LHW,745,10,22,7,1335,0
AG,YMV,ULX,1450,12,31,7,870,0
I9,RJB,MTE,1913,8,5,5,1224,0
NB,OMH,ULQ,1415,10,30,7,861,0
HH,ITV,GYP,1300,4,16,6,36,0
NB,YPU,CNY,1910,2,15,2,220,0
NB,QTX,CBT,1519,10,4,3,1797,1
MH,IQQ,YTL,1149,12,19,2,965,0
AG,RSH,ULX,1742,2,14,2,351,0
NB,ULQ,QTP,1944,9,30,6,2176,0
LT,HFF,LBQ,619,5,17,2,100,0
XJ,CVS,YTL,1927,3,10,4,253,0
RL,YTR,UYV,1250,6,7,2,183,0
XJ,MQJ,ORV,923,11,21,1,280,0
HH,RJB,CKB,829,6,3,6,525,0
RQ,VWP,TVQ,657,10,30,7,1541,0
MH,MQJ,YTL,2047,6,30,5,1091,0
BN,HSR,RVN,1004,10,27,5,235,0
NB,ULX,TCZ,614,9,11,1,328,0
WP,ULQ,OLV,756,8,17,3,290,0
JG,TVQ,LHW,1230,4,23,6,696,0
WP,RVN,MQV,647,4,19,2,500,0
RQ,CHP,OMH,712,11,17,4,1121,0
HH,HSR,CLO,1828,12,24,6,584,1
RQ,LBQ,TVQ,1756,9,18,7,4502,1
NB,ULX,POI,2103,4,15,6,647,1
WP,IQQ,ULQ,1045,2,4,5,992,0
TT,OYT,RMT,1929,8,11,5,920,0
OZ,RIN,IPO,1156,7,18,2,228,0
NB,QTP,HTE,735,2,11,5,407,0
BN,YBR,QFT,732,8,17,4,659,0
TT,RMT,HSR,1958,12,7,3,612,0
TT,PTB,RIN,1454,9,17,6,1171,0
NB,LHW,ULX,1150,6,3,5,1020,1
C6,DIE,PJT,1927,4,6,4,2421,0
RQ,QTP,TVQ,657,5,9,1,1747,0
MH,YTL,PTV,745,6,29,3,191,0
C6,DIE,OMH,1138,11,15,3,944,1
JG,LUB,TVQ,800,11,17,4,780,1
IQ,TVQ,VUT,752,3,7,2,406,0
OZ,RPO,RIN,1013,3,19,7,624,0
RQ,URX,TVQ,1322,1,24,2,2172,1
IQ,TVQ,MTE,1235,9,1,4,528,0
NB,SBH,QTP,1600,2,10,5,345,1
HH,FJF,PQM,509,4,20,3,546,0
RQ,QTX,IQQ,1139,3,19,7,2342,0
XJ,YTL,HSR,1159,3,14,1,925,0
TT,RMT,RIN,1719,1,22,7,1192,0
C6,DIE,MQV,1742,7,29,6,541,1
LT,LBQ,QTX,1247,8,24,4,2556,0
RQ,ULQ,TVQ,1738,11,27,1,665,1
RQ,PQM,FJF,2021,6,27,2,546,1
NB,QTX,ULX,2115,3,16,4,370,0
XJ,YTL,FSE,1917,4,28,4,166,1
OZ,HSR,YTR,1054,11,8,3,589,1
IQ,TVQ,DTX,1405,9,20,3,270,0
NB,OPA,QTP,1559,12,1,5,1501,0
RQ,TVQ,JQU,923,9,6,2,1282,0
IQ,RMT,SPN,753,3,3,4,892,0
TT,HSR,RVN,1607,10,17,1,235,0
RQ,TVQ,OMY,1507,11,4,5,692,0
TT,RIN,VWP,1830,4,19,3,813,0
JG,TVQ,LUB,903,4,4,2,780,0
HH,UPM,PQM,455,6,16,5,521,0
HH,POI,PIH,1138,2,26,7,86,0
BN,UCY,RVN,949,2,25,5,1087,0
WP,PSZ,MQV,1622,5,2,1,547,1
HH,HSR,RPO,1043,11,13,7,299,0
HL,MGF,HOT,1819,7,25,2,614,0
WT,YTR,PIH,1908,12,11,1,2419,1
HH,SRR,PIH,2114,1,2,1,199,0
WP,CHP,MQV,1402,5,8,1,728,0
NB,CNY,CBT,2109,11,20,1,588,0
NB,QTX,CBT,1230,11,6,7,1797,0
RQ,PQM,TVQ,830,3,20,1,1589,0
RQ,TVQ,YTR,1442,2,14,1,533,0
JG,TVQ,MSN,2233,5,10,2,363,0
TT,HSR,PVQ,2334,4,3,1,258,1
I9,PJT,RJB,1043,8,5,6,1024,0
TT,ULQ,RIN,900,7,1,6,1302,0
JG,SHT,TVQ,948,10,13,5,357,0
WT,HSR,RJB,553,11,5,6,888,0
WP,MQV,OYT,948,5,24,3,650,0
OZ,QTN,RIN,1746,11,11,5,140,0
TT,HSR,JNS,1608,5,7,6,719,0
MH,VUT,YTL,926,6,15,3,787,0
RL,YTR,FPH,1507,2,12,6,239,0
HH,ITS,RJB,1747,6,4,6,627,1
TT,FWM,RIN,1420,12,25,1,678,0
NB,POI,PJT,759,9,5,2,605,0
AG,TGU,HSR,2119,12,11,1,631,1
NB,SRW,ULQ,1457,1,22,7,336,0
OZ,QFT,RMT,1255,11,24,4,214,0
WT,OPA,QTX,1901,8,20,7,1671,0
MH,OYT,YTL,622,8,10,3,964,0
OZ,HSR,RTA,2040,8,23,2,240,0
OZ,CHP,JNS,1707,2,20,7,200,1
BN,QTP,OPU,648,11,17,5,1300,0
NB,PDM,HBV,2110,7,5,3,333,1
WP,ULQ,MOL,2107,8,5,5,405,0
HL,MGF,VAP,908,2,8,3,226,1
OZ,RIN,JGG,1247,8,6,7,642,0
BN,OPU,OMY,1906,2,27,7,393,0
TT,CLO,RIN,1630,6,4,7,597,0
WP,MQV,ULX,2021,5,16,2,1774,1
HL,MGF,ULQ,2301,5,5,4,507,1
TT,HSR,YTL,822,8,19,5,925,0
RQ,URX,TVQ,2245,6,24,5,2172,0
HH,HBV,QTX,1857,5,3,2,47,0
WP,PAS,ULQ,1032,5,5,4,228,1
TT,RIN,QTX,2324,8,22,2,1235,1
AG,VWP,ULX,1520,3,3,5,110,0
JG,TVQ,VQL,1212,7,6,4,223,0
WP,MOL,MQV,1901,3,1,2,346,0
WP,PVQ,ULX,718,12,26,2,1262,0
TT,RIN,OPU,1055,9,12,2,852,0
WT,HSR,ULX,1550,1,16,1,1440,0
LT,LBQ,HFF,1148,12,13,2,100,0
NB,LHW,CNY,1930,8,13,6,1246,0
RQ,URX,PQM,907,2,7,1,630,0
BN,RVN,YTL,1533,12,23,5,1076,0
NB,TWP,CNY,1520,8,28,1,1342,0
TP,PJT,SBH,2145,7,2,6,564,1
NB,ORN,RVN,800,10,18,2,229,0
OZ,HSR,MOY,2144,1,14,5,135,0
TT,OJO,RIN,626,3,31,5,432,0
BN,RMT,RVN,1351,2,3,5,405,0
MH,IQQ,JNS,1106,1,9,7,1065,0
XJ,YTL,OHC,1519,10,4,3,427,0
OZ,PFI,RIN,1829,6,24,5,364,1
TT,VUT,OYT,934,1,30,7,204,0
WP,OYT,MQV,1836,5,3,3,650,0
AG,YTR,CWI,2135,10,3,2,284,0
TT,HSR,CHP,2147,1,26,4,867,1
MH,YTL,JNS,802,4,28,4,1400,0
NB,OMH,PVQ,1455,3,19,6,880,0
OZ,HSI,HSR,1129,3,14,1,717,0
OZ,HSR,LUB,1243,5,23,2,738,0
WT,PIH,CHP,1443,8,16,2,2704,1
XJ,MQJ,OLV,1902,4,27,3,544,0
HH,CVO,PQM,1303,3,6,1,357,0
TP,PJT,PIH,738,1,29,6,679,0
RQ,TVQ,OMH,754,4,15,6,403,0
RQ,TVQ,OJO,2124,3,20,7,332,1
WT,CHP,RJB,2016,10,11,3,1754,1
OZ,RIN,OQY,1019,5,1,1,691,1
NB,UGR,VUT,650,3,19,6,1137,0
HL,MGF,YBR,1245,12,23,5,98,0
HH,SBH,PIH,1644,6,23,5,192,0
TP,ITY,TBM,2047,7,22,5,261,0
MH,YTL,PTV,1753,7,16,6,191,0
MH,JNS,ULX,1623,4,8,5,2133,0
WP,OMH,ULQ,1932,12,7,3,861,0
WT,HSR,CRQ,1850,4,29,6,783,0
WT,CRQ,YTR,1905,11,14,1,326,0
HL,VHQ,MGF,1258,1,28,5,181,0
TT,SRW,RIN,1303,1,24,1,1062,0
WT,FSS,HSR,557,3,7,2,137,0
RQ,DIE,UCY,839,9,28,4,1028,0
HL,MGF,FPH,1646,9,15,5,330,0
NB,QTP,TCZ,640,11,17,4,487,0
AG,FDV,RJB,1307,12,28,4,212,1
I9,PTB,RJB,2026,2,12,7,853,0
NB,TWP,CBT,1855,5,6,6,756,0
NB,VWQ,RTQ,1938,6,21,3,237,0
NB,TCZ,TOT,1028,8,18,4,277,0
JG,TVQ,UIB,1437,5,26,5,247,1
RQ,OPA,TVQ,1809,1,21,5,425,0
XJ,TQC,MQJ,1546,12,15,4,424,1
BN,MQJ,RVN,1902,1,10,1,95,1
XJ,YTL,OJO,726,4,12,3,469,0
JG,YPU,TVQ,1545,9,9,5,795,0
BN,RVN,ULX,1928,4,22,6,1671,0
BN,OJO,PFI,1436,12,18,1,243,1
BN,ITS,OPU,1435,4,8,5,223,0
LT,LBQ,YVH,1812,4,27,3,216,0
OZ,RIN,FSE,1609,1,13,5,134,0
NB,YBR,QTX,1750,4,15,5,1814,1
LU,QTP,URX,2356,10,6,4,762,0
XJ,YTL,CBT,1036,3,21,1,657,0
HH,MNT,HSR,1120,6,27,2,213,0
TT,VWP,HSR,1853,10,18,3,1437,1
HH,ITS,HSR,602,7,14,5,557,0
NB,CNY,CBT,1944,1,3,1,588,0
MH,CHP,YTL,718,2,26,7,1597,0
NB,ULX,CNY,855,8,9,2,1999,0
BN,OPU,OEJ,2353,12,21,4,297,1
RL,OLV,YTR,1808,5,24,2,418,0
TT,OYT,PDW,2321,7,11,1,1045,1
NB,HTE,PBT,1220,12,17,6,371,0
JG,RIN,PLG,835,1,20,4,190,0
BN,OJO,RVN,829,2,27,7,610,0
I9,RJB,PQM,1455,3,21,2,391,0
WT,RJB,CNY,1330,5,27,6,1491,0
NB,HBV,ULX,1055,4,26,2,325,1
WP,MQV,YBR,2002,5,11,4,428,1
NB,MQJ,ORN,800,5,8,7,307,0
TT,TWP,RIN,1124,5,3,2,190,0
XJ,RTQ,YTL,857,12,8,5,217,0
TT,RIN,PIH,1834,6,28,2,1464,0
NB,PDM,ORN,945,12,12,2,1838,0
HH,CHY,PIH,1842,5,1,7,522,0
XJ,MLP,YTL,1732,7,15,6,925,0
TT,PVV,OYT,920,3,31,4,1107,0
HH,MYM,PIH,1721,2,6,7,153,0
BN,RVN,TQC,1409,6,18,7,488,0
JG,SRW,TVQ,1155,1,17,2,356,0
HH,PJT,PQM,939,2,27,1,689,1
WT,YTR,QTP,2143,1,22,6,2066,0
OZ,UYT,RIN,614,10,2,7,673,0
MH,YTL,RMT,1306,1,12,3,1208,0
AG,MQV,YQO,1610,2,22,3,185,0
RQ,TVQ,YTR,1225,2,3,5,533,0
WT,OPU,HSR,652,11,9,3,334,0
C6,QFC,YTR,2130,8,27,6,2277,0
OZ,CBT,HSR,1614,9,3,6,409,0
XJ,JNS,QJX,1536,9,11,7,588,0
JG,JAN,TVQ,1910,2,4,5,646,0
WP,PDM,QTP,1038,3,28,2,386,1
NB,RTQ,PTV,1234,5,24,2,248,1
TT,PVQ,VUT,804,5,28,6,869,0
OZ,HSR,XBT,1015,11,23,3,522,0
WP,ULX,POI,820,12,13,3,647,0
OZ,RMT,CHP,614,9,9,5,399,0
MH,ULX,YTL,819,11,5,6,1009,1
I9,OPU,RJB,1421,8,9,2,680,0
BN,CNY,OPU,1123,9,10,6,936,0
TP,QTP,URX,2244,7,23,6,762,0
OZ,TQC,HSR,1107,6,8,4,723,0
NB,HOT,ORN,1644,6,23,5,423,0
TT,PIH,HSR,619,1,14,5,1846,0
JG,TVQ,FBG,1020,9,1,5,300,0
HH,PQM,PIH,1835,6,30,4,599,0
JG,TVQ,MTE,1459,8,31,3,528,0
BN,HSR,OPU,1453,12,9,5,334,1
NB,RTQ,TOT,1120,9,19,1,324,0
JG,ORV,TVQ,1418,10,18,2,619,0
NB,HBV,ULX,1227,8,3,3,325,0
HL,MGF,JNS,1852,5,17,3,569,1
OZ,ITV,QTX,658,11,6,1,209,0
LU,QTP,QTX,908,11,21,1,236,0
BN,OPU,PQM,926,8,28,1,991,0
C6,CHP,QFC,615,6,25,7,2602,0
XJ,GUP,YTL,625,3,30,3,510,0
JG,TVQ,ULI,715,4,8,5,508,0
RQ,PIH,TVQ,1002,8,2,2,2139,0
OZ,RMT,SRW,1553,3,9,3,227,0
HH,RJB,OPH,1424,6,30,5,679,0
RQ,IQQ,TVQ,1859,2,12,6,581,1
TP,PJT,TBM,1438,8,22,2,1449,0
LU,PIH,QTP,2023,8,27,6,414,0
JG,TVQ,MPF,1717,8,22,1,83,0
HH,QTX,ULX,642,4,5,2,370,0
IQ,ULQ,OMH,705,3,11,5,861,0
XJ,CWI,JNS,1911,9,20,3,282,1
MH,YTL,ULQ,856,10,3,1,1324,0
TT,RIN,CRQ,633,12,3,7,1471,0
AG,YTR,DIE,1233,11,27,1,228,1
NB,OMH,OMY,1250,11,24,4,1072,0
C6,YTR,QFC,1755,12,4,7,2277,0
IQ,VUT,TVQ,938,8,28,7,406,0
WP,VUT,QTP,2053,4,19,3,1984,0
XJ,JNS,TGQ,1025,12,28,3,583,0
RQ,TVQ,TQC,1808,5,6,6,852,0
RQ,TVQ,CVS,920,12,11,7,449,0
BN,OPU,YTL,708,6,21,2,1034,0
BN,RVN,SRW,1038,9,14,3,501,0
HH,JWF,PQM,635,6,10,5,619,0
C6,DIE,SPN,1039,4,2,6,1074,0
WT,HFF,PIH,2042,8,28,1,2338,1
HH,QTX,CIQ,1103,9,20,2,109,0
NB,CNY,QTP,1106,10,2,7,2106,0
TT,ULQ,PDW,946,8,20,7,1576,0
RL,PTG,YTR,1227,8,30,2,515,0
NB,ULQ,UGR,819,4,15,6,238,0
OZ,HSR,PRI,1251,2,3,4,286,0
BN,OPU,VUT,1841,10,31,2,1307,0
OZ,CHP,DIE,1515,10,10,1,187,0
BN,MQJ,RVN,1322,3,29,2,95,0
HH,CKB,PQM,2032,5,9,1,347,0
RQ,TVQ,LPG,1731,3,9,3,151,0
WP,CHP,ULQ,724,5,6,6,280,0
HL,MGF,CBT,1855,7,10,1,230,0
OZ,CHP,SRW,1557,10,28,5,612,0
XJ,YTL,CVS,1425,5,10,3,253,0
BN,YTL,RVN,1225,9,13,3,1076,0
WP,PIH,MQV,1221,7,31,7,2296,1
IQ,TVQ,VUT,1658,12,1,4,406,0
AG,ORN,YTR,1812,2,17,5,577,0
BN,OPU,IPR,1123,6,16,5,197,0
LU,HSR,QTP,816,5,1,7,1515,0
WP,UYV,OMH,1339,9,30,6,834,0
HL,MTJ,MGF,1215,5,21,7,404,0
NB,CBT,ULX,1555,8,26,5,1448,0
WT,URX,RJB,1512,11,22,3,992,1
RL,YTR,TVQ,745,3,14,1,533,1
NB,PJT,POI,700,5,21,7,605,0
WP,RMT,OMH,840,5,26,5,759,0
IQ,OMH,ORN,1442,8,15,2,989,0
I9,RJB,PIH,1828,2,19,7,967,0
BN,OPU,CYQ,1137,2,16,4,748,0
WT,PJT,HSR,1410,5,10,2,1721,0
HH,QTX,PTB,1829,2,9,3,109,0
OZ,OQY,HSR,924,7,14,5,139,0
OZ,RIN,TOT,705,6,30,5,313,0
HL,MGF,TQC,2340,8,14,1,623,1
NB,TCZ,ULX,612,2,13,1,328,0
XJ,MQJ,ULQ,1853,9,21,4,363,0
RQ,ULX,TVQ,1037,6,4,7,1587,0
IQ,CNY,RTA,2154,1,24,1,406,1
WP,UCY,ULQ,700,3,13,7,951,0
HL,QFT,MTJ,1559,10,2,7,617,0
VK,QFT,ORN,1005,4,8,6,725,0
RQ,VQL,TVQ,740,11,11,6,223,0
NB,QTP,ULX,1225,3,27,7,256,0
NB,CBT,QTX,1905,12,14,3,1797,1
BN,YBR,QTX,822,6,3,6,1814,1
IQ,IBV,VUT,1221,11,26,6,1036,1
IQ,TVQ,RIN,800,10,2,7,732,0
WT,PBT,RJB,902,6,30,5,846,0
TT,RIN,OPA,1049,6,29,3,448,0
NB,PJT,POI,725,11,6,7,605,0
NB,QTX,OMY,1240,6,26,7,1363,1
NB,PJT,CHY,1335,6,27,1,399,0
WP,OMH,ULQ,1916,3,8,2,861,0
TT,PTB,CHP,717,5,6,5,2588,0
TT,CRQ,RIN,1422,8,23,2,1471,1
TT,JQU,RIN,1025,8,26,6,551,0
MH,YTL,PIH,1801,12,28,3,1635,1
JG,TVQ,MLT,1541,2,6,1,106,1
NB,PTB,HTE,1805,10,30,1,446,0
IQ,ORN,TVQ,537,9,10,7,590,0
JG,TVQ,YTL,722,10,13,5,689,1
TT,OYT,CHP,2050,11,30,4,1258,1
TT,RIN,XBT,1052,1,16,1,281,0
HH,HSR,ITS,1020,3,3,5,557,0
BN,OPU,PIH,1755,3,29,3,1589,0
WP,IQQ,ULQ,606,2,10,5,992,0
MH,OMH,JNS,1821,6,17,6,938,1
OZ,HSR,XBT,2300,5,19,4,522,1
MH,OPU,YTL,1502,8,25,5,1034,0
OZ,QFT,MQV,1911,5,29,1,544,1
HH,RJB,CWS,1421,1,17,1,850,0
NB,YPU,OMH,706,7,30,7,972,0
MH,YTL,CVS,1913,7,5,2,253,0
I9,URX,RJB,1106,5,23,1,992,0
HH,PQM,PDM,1503,5,27,5,585,0
MH,YTL,OIJ,2136,6,29,3,316,1
OZ,QSR,RIN,950,10,5,4,394,1
NB,LHW,QYV,1237,6,13,1,393,0
XJ,YTL,UBP,1624,10,6,5,489,0
C6,SPN,DIE,645,5,2,1,1074,0
OZ,RIN,VAS,1304,6,6,1,103,0
BN,OHV,OPU,448,2,13,1,449,0
JG,MGF,LPG,2055,9,11,7,325,0
RQ,DTB,TVQ,1349,12,30,5,341,0
I9,URX,RJB,623,9,24,6,992,0
WP,MQV,ORV,2122,9,21,3,413,0
OZ,MOL,QFT,1158,8,20,7,478,0
BN,RMT,RVN,1835,5,11,4,405,0
WT,RJB,HSR,1352,3,31,4,888,0
WT,HSR,HTE,1944,1,5,4,1835,0
RQ,MGF,PJT,1647,9,20,3,1964,0
RQ,CHP,QTP,1909,9,24,7,2381,0
TT,RIN,DTX,1910,3,7,1,919,1
OZ,RIN,DTB,716,5,4,4,408,0
NB,QTX,PDM,1255,10,1,6,308,1
WT,RJB,PJT,2123,8,25,5,1024,1
BN,YTL,RVN,1210,7,7,5,1076,0
HL,MGF,PMJ,1028,8,23,3,383,0
RQ,MGF,YBR,1918,4,8,5,98,0
RQ,MGF,ULX,2048,5,8,7,1569,0
WT,PIH,QTP,830,5,29,7,414,0
IQ,TVQ,YTR,814,12,26,1,533,0
XJ,HSI,YTL,1742,8,5,6,1201,0
BN,TVQ,OJO,1305,6,30,4,332,1
TT,CHP,RIN,1424,8,15,1,1562,0
OZ,TWP,RTQ,1645,7,20,4,189,0
NB,ULX,PQM,2110,5,19,4,507,1
NB,IQQ,DTX,1900,6,21,3,318,1
RQ,PTB,MGF,1145,8,10,4,1865,0
HL,RMT,OPA,848,8,16,3,969,0
XJ,YTL,UPU,942,1,27,4,1269,0
HH,SRO,URX,1847,7,4,2,116,0
WP,RMT,YBR,2125,3,18,5,499,1
NB,HTE,QTP,1845,2,26,6,407,1
RQ,TVQ,PJT,1727,9,16,6,2182,0
TT,HSR,QTX,1159,4,6,4,1745,0
OZ,SPV,HSR,1215,10,27,4,268,0
HL,CNY,MGF,725,6,26,7,430,0
OZ,YTR,OYT,1445,10,15,7,921,0
MH,YTL,OIJ,922,6,6,1,316,0
WP,MQV,YQO,1105,10,21,6,185,0
JG,TVQ,TJX,1618,3,17,5,500,0
WT,HSR,OLV,1312,4,26,3,843,0
JG,OMH,PTV,1323,5,17,3,1040,0
RQ,TVQ,QYV,2125,11,17,4,453,0
TT,RMT,OYT,855,12,27,2,920,0
LU,QTP,PDM,2020,2,4,5,386,0
TT,QTP,QTX,808,1,11,3,236,0
NB,PTB,ULX,858,9,23,5,304,0
BN,RVN,QFT,1748,6,28,3,501,0
NB,QTP,ORN,847,3,30,4,1521,0
OZ,SPV,HSR,1226,6,11,7,268,0
NB,ORN,HTE,1153,7,12,3,1844,0
WT,PJT,YTR,724,1,10,2,2306,0
RQ,TVQ,SPN,1356,2,5,6,515,0
BN,VUT,OPU,1402,12,21,4,1307,1
NB,HTE,ORN,903,8,25,5,1844,0
JG,TVQ,PVX,1010,2,11,6,1638,1
RL,PRI,YTR,635,3,16,3,451,0
HH,HBV,PQM,1809,7,30,7,558,0
LU,MQJ,QTP,2006,4,14,4,1825,0
JG,QNC,TVQ,1347,10,1,6,369,0
RQ,MGF,CHP,750,4,24,1,752,0
OZ,QYV,HSR,1208,5,18,3,552,1
NB,PVQ,ORN,1717,5,21,7,251,0
NB,HTE,ULX,752,12,22,5,646,0
OZ,OTI,RIN,656,1,6,4,309,0
OZ,RIN,RPO,1157,1,19,3,624,0
WT,HSR,QTP,805,9,18,7,1515,0
XJ,JNS,FPH,1156,7,7,5,446,0
XJ,YTL,MSU,1726,6,7,2,201,0
TT,HSR,QTX,1313,8,31,3,1745,1
RQ,QTX,HFF,1657,5,30,2,2486,0
NB,HBV,ULX,2015,5,11,4,325,0
NB,OTI,RTQ,705,2,18,5,319,0
WT,CYQ,RJB,741,7,31,7,455,0
HH,MUS,PQM,558,8,2,2,320,0
JG,VSY,MGF,1555,6,7,2,216,0
AG,TPJ,RJB,1017,12,8,5,125,0
NB,HOT,PVQ,1920,10,22,7,342,0
MH,PIH,YTL,1729,8,26,5,1635,0
NB,YPU,CBT,1030,1,31,1,803,0
HL,UBP,DIE,705,10,5,3,1028,0
BN,OPU,PJT,1323,6,18,7,1399,1
NB,HTE,QTP,1515,3,9,4,407,1
RQ,DIE,OMH,1701,8,24,4,944,0
RQ,TVQ,RIN,2128,3,29,2,732,0
NB,PDM,QTX,1950,2,28,1,308,1
OZ,PFI,RIN,955,5,23,2,364,0
RQ,TVQ,UCY,1228,8,27,7,545,0
WP,RMT,ULQ,1030,6,23,4,119,0
NB,ORN,CNY,809,3,24,4,611,0
MH,YTL,RJB,1444,4,27,3,861,0
NB,ORN,ULX,845,7,29,5,1444,0
WT,QFT,HSR,756,12,14,4,733,0
JG,RLB,TVQ,1445,3,18,5,171,0
TP,RIN,PJT,1806,1,27,5,1660,0
NB,LHW,TWP,753,1,28,5,148,0
JG,TVQ,UYV,1326,10,13,4,526,0
BN,VUT,OJO,1247,8,2,3,656,0
NB,PBT,ULX,1147,12,16,5,338,0
